SaleKey,CityKey,CustomerKey,BillToCustomerKey,StockItemKey,InvoiceDateKey,DeliveryDateKey,SalespersonKey,WWIInvoiceID,Description,Package,Quantity,UnitPrice,TaxRate,TotalExcludingTax,TaxAmount,Profit,TotalIncludingTax,TotalDryItems,TotalChillerItems,LineageKey,ProductId
4758481,64853,302,202,207,2019-01-06,2019-01-07,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4759501,64853,302,202,207,2019-01-06,2019-01-07,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4760401,64853,302,202,207,2019-01-06,2019-01-07,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4796941,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4797841,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4798801,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4799701,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4800601,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4801381,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4802881,64853,302,202,207,2019-01-10,2019-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
